Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,12.060000,12.320000,11.650000,11.890000,11.890000,7732000
2016-03-02,12.030000,13.240000,11.950000,13.020000,13.020000,8861100
2016-03-03,13.100000,14.100000,12.760000,13.580000,13.580000,10956900
2016-03-04,13.340000,14.840000,13.100000,13.360000,13.360000,14102400
2016-03-07,13.500000,14.075000,13.230000,13.880000,13.880000,9565100
2016-03-08,13.700000,13.700000,12.375000,12.410000,12.410000,10756600
2016-03-09,12.700000,12.700000,12.100000,12.280000,12.280000,4907100
2016-03-10,12.420000,12.620000,11.900000,12.180000,12.180000,5810500
2016-03-11,12.320000,12.980000,12.130000,12.600000,12.600000,6948200
2016-03-14,12.520000,12.600000,12.140000,12.270000,12.270000,5480000
2016-03-15,12.210000,12.240000,11.550000,11.700000,11.700000,6310700
2016-03-16,11.710000,12.470000,11.660000,12.310000,12.310000,6304800
2016-03-17,12.300000,13.190000,12.240000,12.950000,12.950000,6603100
2016-03-18,13.140000,13.610000,12.720000,12.880000,12.880000,6224300
2016-03-21,12.750000,13.190000,12.630000,13.070000,13.070000,3356800
2016-03-22,12.990000,13.170000,12.790000,12.970000,12.970000,3339300
2016-03-23,12.970000,13.110000,12.230000,12.270000,12.270000,4407500
2016-03-24,12.200000,12.480000,11.920000,12.420000,12.420000,2834000
2016-03-28,12.430000,12.500000,11.490000,11.500000,11.500000,6918800
2016-03-29,11.460000,11.760000,11.080000,11.650000,11.650000,7286600
2016-03-30,11.790000,12.370000,11.700000,12.160000,12.160000,6099000
2016-03-31,12.200000,12.213000,11.840000,11.960000,11.960000,4372200
2016-04-01,11.810000,11.990000,11.610000,11.740000,11.740000,3899000
2016-04-04,11.770000,12.370000,11.670000,12.030000,12.030000,5288200
2016-04-05,11.930000,12.040000,11.621000,11.650000,11.650000,4048000
2016-04-06,11.790000,12.160000,11.630000,12.120000,12.120000,5943400
2016-04-07,11.900000,12.490000,11.900000,12.290000,12.290000,5312900
2016-04-08,12.370000,12.750000,12.250000,12.320000,12.320000,4660000
2016-04-11,12.350000,12.530000,11.740000,11.770000,11.770000,5344900
2016-04-12,11.930000,12.060000,11.580000,11.680000,11.680000,4842700
2016-04-13,12.000000,14.040000,11.850000,13.900000,13.900000,21039600
2016-04-14,14.170000,14.350000,13.110000,13.800000,13.800000,17296000
2016-04-15,13.590000,14.340000,13.410000,13.770000,13.770000,9264100
2016-04-18,13.680000,13.680000,13.040000,13.130000,13.130000,6996300
2016-04-19,13.210000,13.380000,12.820000,12.950000,12.950000,5428600
2016-04-20,13.090000,13.770000,12.900000,13.440000,13.440000,8377700
2016-04-21,13.520000,13.820000,13.320000,13.560000,13.560000,5355000
2016-04-22,13.530000,14.179000,13.500000,13.980000,13.980000,6612300
2016-04-25,13.710000,13.800000,12.670000,12.820000,12.820000,11089500
2016-04-26,12.860000,13.240000,12.530000,13.180000,13.180000,5310100
2016-04-27,12.940000,13.430000,12.800000,13.300000,13.300000,4672800
2016-04-28,13.240000,13.350000,12.910000,12.940000,12.940000,5111800
2016-04-29,13.020000,13.140000,12.410000,12.640000,12.640000,5395400
2016-05-02,12.560000,12.640000,12.000000,12.230000,12.230000,6276300
2016-05-03,12.100000,12.120000,11.450000,11.650000,11.650000,6227600
2016-05-04,11.540000,11.790000,11.170000,11.400000,11.400000,6156800
2016-05-05,11.390000,11.550000,10.670000,10.710000,10.710000,12398000
2016-05-06,9.930000,10.650000,9.810000,10.460000,10.460000,14540100
2016-05-09,10.450000,10.600000,9.750000,9.780000,9.780000,10693300
2016-05-10,9.870000,9.990000,9.430000,9.820000,9.820000,6620900
2016-05-11,9.830000,9.850000,9.410000,9.460000,9.460000,7687800
2016-05-12,9.510000,9.550000,8.790000,8.820000,8.820000,10039000
2016-05-13,8.890000,9.420000,8.760000,8.880000,8.880000,7739100
2016-05-16,9.050000,9.260000,8.800000,8.930000,8.930000,5758100
2016-05-17,8.980000,9.230000,8.850000,8.990000,8.990000,4361400
2016-05-18,8.940000,9.120000,8.770000,8.800000,8.800000,4798800
2016-05-19,8.750000,8.900000,8.620000,8.850000,8.850000,5955700
2016-05-20,8.920000,9.200000,8.750000,9.150000,9.150000,5928200
2016-05-23,9.200000,9.600000,9.200000,9.260000,9.260000,5695500
2016-05-24,9.910000,10.080000,9.630000,9.710000,9.710000,9519200
2016-05-25,9.820000,10.180000,9.710000,10.080000,10.080000,6070200
2016-05-26,10.200000,10.240000,9.770000,9.980000,9.980000,6182200
2016-05-27,9.990000,10.220000,9.720000,10.200000,10.200000,5138300
2016-05-31,10.270000,10.510000,10.100000,10.270000,10.270000,5931000
2016-06-01,10.160000,10.320000,9.920000,10.320000,10.320000,4875700
2016-06-02,10.280000,10.750000,10.230000,10.720000,10.720000,4980200
2016-06-03,11.000000,11.000000,10.660000,10.720000,10.720000,5973100
2016-06-06,10.700000,11.000000,10.390000,10.920000,10.920000,4564200
2016-06-07,10.940000,11.100000,10.750000,11.070000,11.070000,3850200
2016-06-08,11.150000,11.290000,10.910000,11.060000,11.060000,3941400
2016-06-09,10.890000,10.960000,10.770000,10.900000,10.900000,3198800
2016-06-10,10.790000,10.790000,10.240000,10.260000,10.260000,3959500
2016-06-13,9.910000,10.300000,9.850000,9.970000,9.970000,4395200
2016-06-14,9.840000,10.070000,9.530000,9.710000,9.710000,4451800
2016-06-15,9.800000,10.230000,9.640000,9.820000,9.820000,4891900
2016-06-16,9.660000,9.895000,9.510000,9.840000,9.840000,4415300
2016-06-17,9.880000,10.830000,9.870000,10.650000,10.650000,8843200
2016-06-20,10.890000,11.470000,10.800000,10.850000,10.850000,8239600
2016-06-21,11.010000,11.260000,10.950000,11.200000,11.200000,5898400
2016-06-22,11.200000,11.460000,11.030000,11.100000,11.100000,4121800
2016-06-23,11.260000,11.400000,11.150000,11.320000,11.320000,4479400
2016-06-24,10.520000,11.065000,10.500000,10.780000,10.780000,15050700
2016-06-27,10.610000,10.870000,10.010000,10.210000,10.210000,6833400
2016-06-28,10.520000,10.899000,10.300000,10.480000,10.480000,5261700
2016-06-29,10.600000,10.900000,10.431000,10.810000,10.810000,5284200
2016-06-30,10.700000,10.880000,10.320000,10.810000,10.810000,5661200
2016-07-01,10.860000,11.140000,10.770000,11.050000,11.050000,4190800
2016-07-05,10.920000,10.960000,10.600000,10.650000,10.650000,3083700
2016-07-06,10.380000,10.660000,10.250000,10.590000,10.590000,2966500
2016-07-07,10.550000,11.130000,10.520000,10.770000,10.770000,5765300
2016-07-08,10.960000,11.220000,10.850000,10.970000,10.970000,4454300
2016-07-11,11.110000,12.490000,11.100000,12.430000,12.430000,13488000
2016-07-12,12.530000,12.650000,12.190000,12.460000,12.460000,7082600
2016-07-13,12.800000,13.400000,12.140000,12.430000,12.430000,9434900
2016-07-14,12.600000,12.720000,12.240000,12.280000,12.280000,5361400
2016-07-15,12.310000,12.470000,11.850000,11.900000,11.900000,5174800
2016-07-18,11.950000,12.000000,11.650000,11.850000,11.850000,4384500
2016-07-19,11.980000,11.980000,10.985000,11.010000,11.010000,9468700
2016-07-20,11.090000,11.130000,10.880000,10.900000,10.900000,6044700
2016-07-21,11.090000,11.490000,11.030000,11.230000,11.230000,7211500
2016-07-22,11.320000,11.520000,11.060000,11.080000,11.080000,4989900
2016-07-25,11.110000,11.500000,11.057000,11.410000,11.410000,4933200
